Method,path,req,Param_Name,CORS,api_id,Dev_resources_id
POST,/change_password,header,token,yes,,8jw24bbm7a
POST,/change_password,body,password,yes,,8jw24bbm7a
POST,/change_password,body,new_password,yes,,8jw24bbm7a
POST,/login,params,email,yes,,8jw24bbm7a
POST,/login,parmas,password,yes,,8jw24bbm7a
GET,/my_profile,header,token,yes,,8jw24bbm7a
POST,/verify_password,header,token,yes,,8jw24bbm7a
POST,/verify_password,body,password,yes,,8jw24bbm7a
POST,/kyc/{uuid}/document_key,header,token,yes,,8jw24bbm7a
POST,/kyc/{uuid}/document_key,path,uuid,yes,,8jw24bbm7a
POST,/kyc/{uuid}/document_key,body,doc_key,yes,,8jw24bbm7a
POST,/kyc/{uuid},header,token,yes,,8jw24bbm7a
POST,/kyc/{uuid},path,uuid,yes,,8jw24bbm7a
POST,/kyc/{uuid},body,personal_information,yes,,8jw24bbm7a
POST,/kyc/{uuid},body,id_doc,yes,,8jw24bbm7a
POST,/kyc/{uuid},body,address_proof,yes,,8jw24bbm7a
POST,/kyc/{uuid},body,selfie,yes,,8jw24bbm7a
POST,/kyc/{uuid},body,selfie_with_signed,yes,,8jw24bbm7a
POST,/kyc/{uuid},body,company_name,yes,,8jw24bbm7a
POST,/kyc/{uuid},body,region_business_registered,yes,,8jw24bbm7a
POST,/kyc/{uuid},body,user_type,yes,,8jw24bbm7a
POST,/kyc/{uuid},body,registration_number,yes,,8jw24bbm7a
POST,/kyc/{uuid},body,number_of_directors,yes,,8jw24bbm7a
POST,/kyc/{uuid},body,date_of_incorporation,yes,,8jw24bbm7a
POST,/kyc/{uuid},body,tax_id,yes,,8jw24bbm7a
POST,/kyc/{uuid},body,corporate_website,yes,,8jw24bbm7a
GET,/kyc/{uuid}/submission/{submission_id},header,token,yes,,8jw24bbm7a
GET,/kyc/{uuid}/submission/{submission_id},path,uuid,yes,,8jw24bbm7a
GET,/kyc/{uuid}/submission/{submission_id},path,submission_id,yes,,8jw24bbm7a
GET,/kyc/{uuid}/submission/{submission_id},path,account_type,yes,,8jw24bbm7a
GET,/kyc,header,token,yes,,8jw24bbm7a
GET,/kyc,querystring,page,yes,,8jw24bbm7a
GET,/kyc,querystring,count,yes,,8jw24bbm7a
GET,/kyc,querystring,submission_type,yes,,8jw24bbm7a
GET,/kyc,querystring,submission_status,yes,,8jw24bbm7a
GET,/kyc,querystring,sort,yes,,8jw24bbm7a
GET,/kyc,querystring,email,yes,,8jw24bbm7a
GET,/kyc,querystring,phone_number,yes,,8jw24bbm7a
GET,/kyc,querystring,cust_status,yes,,8jw24bbm7a
GET,/kyc,querystring,inv_status,yes,,8jw24bbm7a
GET,/kyc,querystring,first_name,yes,,8jw24bbm7a
GET,/kyc,querystring,last_name,yes,,8jw24bbm7a
GET,/kyc,querystring,company_name,yes,,8jw24bbm7a
GET,/kyc/{uuid}/uploading_url,header,token,yes,,8jw24bbm7a
GET,/kyc/{uuid}/uploading_url,path,uuid,yes,,8jw24bbm7a
GET,/kyc/{uuid}/{submission_id}/staff_document,header,token,yes,,8jw24bbm7a
GET,/kyc/{uuid}/{submission_id}/staff_document,path,uuid,yes,,8jw24bbm7a
GET,/kyc/{uuid}/{submission_id}/staff_document,path,submission_id,yes,,8jw24bbm7a
GET,/kyc/{uuid},header,token,yes,,8jw24bbm7a
