Method,path,req,Param_Name,CORS,Dev_resources_id
POST,/user,header,security_key,no,xb9v0gg9de
POST,/user,header,user_token,no,xb9v0gg9de
POST,/user,body,email,no,xb9v0gg9de
POST,/user,body,phone_number,no,xb9v0gg9de
POST,/user,body,country_code,no,xb9v0gg9de
POST,/user,body,default_lang_code,no,xb9v0gg9de
POST,/user,body,password,no,xb9v0gg9de
POST,/user,body,referral_code,no,xb9v0gg9de
PUT,/user/agreement,header,user_token,no,xb9v0gg9de
POST,/user/corporate,header,security_key,no,xb9v0gg9de
POST,/user/corporate,header,user_token,no,xb9v0gg9de
POST,/user/corporate,body,email,no,xb9v0gg9de
PUT,/user/password,header,user_token,no,xb9v0gg9de
PUT,/user/password,header,security_key,no,xb9v0gg9de
PUT,/user/password,body,email,no,xb9v0gg9de
PUT,/user/password,body,country_code,no,xb9v0gg9de
PUT,/user/password,body,phone_number,no,xb9v0gg9de
PUT,/user/password,body,password,no,xb9v0gg9de
PUT,/user/password,body,ip_address,no,xb9v0gg9de
PUT,/user/password,body,topic,no,xb9v0gg9de
PUT,/user/phone_number,header,user_token,no,xb9v0gg9de
PUT,/user/phone_number,header,security_key,no,xb9v0gg9de
PUT,/user/phone_number,body,country_code,no,xb9v0gg9de
PUT,/user/phone_number,body,phone_number,no,xb9v0gg9de
PUT,/user/phone_number,body,password,no,xb9v0gg9de
POST,/user/check/email,body,email,no,xb9v0gg9de
POST,/user/check/email,body,country_code,no,xb9v0gg9de
POST,/user/check/email,body,phone_number,no,xb9v0gg9de
GET,/user,header,user_token,no,xb9v0gg9de
PUT,/user/default_currency,header,user_token,no,xb9v0gg9de
PUT,/user/default_currency,body,currency_code,no,xb9v0gg9de
PUT,/user/default_lang,header,user_token,no,xb9v0gg9de
PUT,/user/default_lang,body,default_lang_code,no,xb9v0gg9de
POST,/user/check,header,user_token,no,xb9v0gg9de
POST,/user/check,body,email,no,xb9v0gg9de
POST,/user/check,body,country_code,no,xb9v0gg9de
POST,/user/check,body,phone_number,no,xb9v0gg9de
POST,/user/check,body,referral_code,no,xb9v0gg9de
POST,/login,header,user_token,no,xb9v0gg9de
POST,/login,body,ip_address,no,xb9v0gg9de
POST,/login,body,device_model,no,xb9v0gg9de
POST,/login,body,device_identifier,no,xb9v0gg9de
POST,/logout,header,user_token,no,xb9v0gg9de
POST,/logout,body,ip_addressoptional,no,xb9v0gg9de
POST,/logout,body,device_modeloptional,no,xb9v0gg9de
POST,/logout,body,device_identifieroptional,no,xb9v0gg9de
PUT,/user/phone_number/delete,header,user_token,no,xb9v0gg9de
PUT,/user/phone_number/delete,header,security_key,no,xb9v0gg9de
PUT,/user/phone_number/delete,body,password,no,xb9v0gg9de
POST,/user/questionare/on_boarding,header,user_token,no,xb9v0gg9de
POST,/user/client_type/professional/request,header,user_token,no,xb9v0gg9de
POST,/user/client_type/professional/request,body,contact_email,no,xb9v0gg9de
POST,/user/frozen/unlock_request,header,user_token,no,xb9v0gg9de
POST,/user/frozen/unlock_request,body,contact_email,no,xb9v0gg9de
POST,/verify/request,header,user_token,no,xb9v0gg9de
POST,/verify/request,body,email,no,xb9v0gg9de
POST,/verify/request,body,country_code,no,xb9v0gg9de
POST,/verify/request,body,phone_number,no,xb9v0gg9de
POST,/verify/check,header,x-api-key,no,xb9v0gg9de
POST,/verify/check,header,user_token,no,xb9v0gg9de
POST,/verify/check,body,email,no,xb9v0gg9de
POST,/verify/check,body,country_code,no,xb9v0gg9de
POST,/verify/check,body,phone_number,no,xb9v0gg9de
POST,/verify/check,body,code,no,xb9v0gg9de
POST,/2fa/request,header,user_token,no,xb9v0gg9de
POST,/2fa/check,header,user_token,no,xb9v0gg9de
POST,/2fa/remove,header,user_token,no,xb9v0gg9de
POST,/2fa/login,header,user_token,no,xb9v0gg9de
POST,/2fa/login/remove,header,user_token,no,xb9v0gg9de
POST,/2fa/tx,header,user_token,no,xb9v0gg9de
POST,/2fa/tx/remove,header,user_token,no,xb9v0gg9de
POST,/2fa/verify,header,user_token,no,xb9v0gg9de
POST,/kyc/personal,header,user_token,no,xb9v0gg9de
POST,/kyc/personal,body,personal_information,no,xb9v0gg9de
POST,/kyc/personal,body,first_name,no,xb9v0gg9de
POST,/kyc/personal,body,last_name,no,xb9v0gg9de
POST,/kyc/personal,body,middle_name_1,no,xb9v0gg9de
POST,/kyc/personal,body,middle_name_2,no,xb9v0gg9de
POST,/kyc/personal,body,telegram_id,no,xb9v0gg9de
POST,/kyc/personal,body,country_code,no,xb9v0gg9de
POST,/kyc/personal,body,phone_number,no,xb9v0gg9de
POST,/kyc/personal,body,job_title,no,xb9v0gg9de
POST,/kyc/personal,body,company_name,no,xb9v0gg9de
POST,/kyc/personal,body,business_industry,no,xb9v0gg9de
POST,/kyc/personal,body,date_of_birth,no,xb9v0gg9de
POST,/kyc/personal,body,file_extension,no,xb9v0gg9de
POST,/kyc/personal,body,id_doc,no,xb9v0gg9de
POST,/kyc/personal,body,doc_identity_id,no,xb9v0gg9de
POST,/kyc/personal,body,doc_identity_date_expire,no,xb9v0gg9de
POST,/kyc/personal,body,doc_identity_first_name,no,xb9v0gg9de
POST,/kyc/personal,body,doc_identity_last_name,no,xb9v0gg9de
POST,/kyc/personal,body,doc_identity_name_middle1,no,xb9v0gg9de
POST,/kyc/personal,body,doc_identity_name_middle2,no,xb9v0gg9de
POST,/kyc/personal,body,doc_identity_country,no,xb9v0gg9de
POST,/kyc/personal,body,file_extension,no,xb9v0gg9de
POST,/kyc/personal,body,address_proof,no,xb9v0gg9de
POST,/kyc/personal,body,first_name,no,xb9v0gg9de
POST,/kyc/personal,body,last_name,no,xb9v0gg9de
POST,/kyc/personal,body,region,no,xb9v0gg9de
POST,/kyc/personal,body,residential_country,no,xb9v0gg9de
POST,/kyc/personal,body,residential_city,no,xb9v0gg9de
POST,/kyc/personal,body,residential_postcode,no,xb9v0gg9de
POST,/kyc/personal,body,residential_address,no,xb9v0gg9de
POST,/kyc/personal,body,file_extension,no,xb9v0gg9de
POST,/kyc/personal,body,selfie,no,xb9v0gg9de
POST,/kyc/personal,body,percentage,no,xb9v0gg9de
POST,/kyc/personal,body,file_extension,no,xb9v0gg9de
POST,/kyc/personal,body,selfie_with_signed,no,xb9v0gg9de
POST,/kyc/personal,body,file_extension,no,xb9v0gg9de
POST,/kyc/personal,body,net_profit,no,xb9v0gg9de
POST,/kyc/personal,body,file_extension,no,xb9v0gg9de
GET,/kyc/status,header,user_token,no,xb9v0gg9de
POST,/kyc/face_check,header,user_token,no,xb9v0gg9de
POST,/kyc/face_check,body,fakeoff_identity_url,no,xb9v0gg9de
POST,/kyc/face_check,body,fakeoff_identity_bytes,no,xb9v0gg9de
POST,/kyc/face_check,body,fakeoff_image_url,no,xb9v0gg9de
POST,/kyc/face_check,body,fakeoff_image_bytes,no,xb9v0gg9de
POST,/kyc/face_check,body,fakeoff_video_url,no,xb9v0gg9de
POST,/kyc/face_check,body,fakeoff_video_bytes,no,xb9v0gg9de
GET,/wallet/upgrade,querystring,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/upgrade,querystring,page,no,xb9v0gg9de
GET,/wallet/upgrade,querystring,count,no,xb9v0gg9de
GET,/wallet/upgrade,header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary,header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary,path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary,querystring,page,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary,querystring,count,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary/{summary_id}/history,header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary/{summary_id}/history,path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary/{summary_id}/history,path,summary_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary/{summary_id}/history,querystring,page,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary/{summary_id}/history,querystring,count,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/upgrade/summary/{summary_id}/payment_method/confirm,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/summary/{summary_id}/payment_method/request,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,path,m_hd_wallet_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,body,currency_code,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,body,upgrade_wallet_plan_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,body,month_year_once,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,body,insurance_coverage_USD,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,body,subscription_fee_USD,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,body,management_fee_discount_off,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,body,remark,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/fxbit,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/fxbit,path,m_hd_wallet_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/fxbit/{summary_id}/cancel,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/fxbit/{summary_id}/cancel,path,summary_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/fxbit/{summary_id}/cancel,path,m_hd_wallet_id,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id},header,user_token,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id},path,summary_id,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id},path,m_hd_wallet_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/extend,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/extend,path,summary_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/extend,path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/invoice/{invoice_id},header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/invoice/{invoice_id},path,summary_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/invoice/{invoice_id},path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/invoice/{invoice_id},path,invoice_id,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/plan,header,user_token,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/plan,path,summary_id,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/plan,path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet,header,user_token,no,xb9v0gg9de
GET,/wallet,querystring,page,no,xb9v0gg9de
GET,/wallet,querystring,currency_code,no,xb9v0gg9de
GET,/wallet,querystring,count,no,xb9v0gg9de
GET,/wallet,querystring,balance,no,xb9v0gg9de
GET,/wallet/proposal,header,user_token,no,xb9v0gg9de
POST,/wallet/proposal/create,header,user_token,no,xb9v0gg9de
