Method,path,req,Param_Name,CORS,api_id,Dev_resources_id
POST,/change_password,header,token,yes,,3qix2z4o55
POST,/change_password,body,password,yes,,3qix2z4o55
POST,/change_password,body,new_password,yes,,3qix2z4o55
POST,/login,body,emal,yes,,3qix2z4o55
POST,/login,body,password,yes,,3qix2z4o55
GET,/my_profile,header,token,yes,,3qix2z4o55
POST,/verify_password,header,token,yes,,3qix2z4o55
POST,/verify_password,body,password,yes,,3qix2z4o55
GET,/investment/config,header,token,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id}/approve,header,token,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id}/approve,path,bank_id,yes,,3qix2z4o55
GET,/investment/user/bank,header,token,yes,,3qix2z4o55
GET,/investment/user/bank,querystring,page,yes,,3qix2z4o55
GET,/investment/user/bank,querystring,count,yes,,3qix2z4o55
GET,/investment/user/bank,querystring,user_id,yes,,3qix2z4o55
GET,/investment/user/bank,querystring,status,yes,,3qix2z4o55
GET,/investment/deposit/crypto/{deposit_id},header,token,yes,,3qix2z4o55
GET,/investment/deposit/crypto/{deposit_id},path,deposit_id,yes,,3qix2z4o55
GET,/investment/deposit/crypto,header,token,yes,,3qix2z4o55
GET,/investment/deposit/crypto,querystring,page,yes,,3qix2z4o55
GET,/investment/deposit/crypto,querystring,count,yes,,3qix2z4o55
GET,/investment/deposit/crypto,querystring,status,yes,,3qix2z4o55
GET,/investment/withdraw/crypto/{withdraw_id},header,token,yes,,3qix2z4o55
GET,/investment/withdraw/crypto/{withdraw_id},path,withdraw_id,yes,,3qix2z4o55
GET,/investment/withdraw/crypto,header,token,yes,,3qix2z4o55
GET,/investment/withdraw/crypto,querystring,page,yes,,3qix2z4o55
GET,/investment/withdraw/crypto,querystring,count,yes,,3qix2z4o55
GET,/investment/withdraw/crypto,querystring,user_id,yes,,3qix2z4o55
GET,/investment/withdraw/crypto,querystring,withdraw_code,yes,,3qix2z4o55
GET,/investment/withdraw/crypto,querystring,account_id,yes,,3qix2z4o55
GET,/investment/withdraw/crypto,querystring,amount,yes,,3qix2z4o55
GET,/investment/withdraw/crypto,querystring,status,yes,,3qix2z4o55
GET,/investment/currencies,header,token,yes,,3qix2z4o55
GET,/investment/deposit/fiat/{deposit_id},header,token,yes,,3qix2z4o55
GET,/investment/deposit/fiat/{deposit_id},path,deposit_id,yes,,3qix2z4o55
GET,/investment/deposit/fiat,header,token,yes,,3qix2z4o55
GET,/investment/deposit/fiat,querystring,page,yes,,3qix2z4o55
GET,/investment/deposit/fiat,querystring,count,yes,,3qix2z4o55
GET,/investment/deposit/fiat,querystring,remark_code,yes,,3qix2z4o55
GET,/investment/deposit/fiat,querystring,status,yes,,3qix2z4o55
GET,/investment/withdraw/fiat/{withdraw_id},header,token,yes,,3qix2z4o55
GET,/investment/withdraw/fiat/{withdraw_id},path,withdraw_id,yes,,3qix2z4o55
GET,/investment/withdraw/fiat,header,token,yes,,3qix2z4o55
GET,/investment/withdraw/fiat,querystring,page,yes,,3qix2z4o55
GET,/investment/withdraw/fiat,querystring,count,yes,,3qix2z4o55
GET,/investment/withdraw/fiat,querystring,user_id,yes,,3qix2z4o55
GET,/investment/withdraw/fiat,querystring,withdraw_code,yes,,3qix2z4o55
GET,/investment/withdraw/fiat,querystring,account_id,yes,,3qix2z4o55
GET,/investment/withdraw/fiat,querystring,amount,yes,,3qix2z4o55
GET,/investment/withdraw/fiat,querystring,status,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id}/reject,header,token,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id}/reject,path,bank_id,yes,,3qix2z4o55
PUT,/investment/withdraw/crypto/{withdraw_id},header,token,yes,,3qix2z4o55
PUT,/investment/withdraw/crypto/{withdraw_id},path,withdraw_id,yes,,3qix2z4o55
PUT,/investment/withdraw/crypto/{withdraw_id},body,txid,yes,,3qix2z4o55
PUT,/investment/withdraw/crypto/{withdraw_id},body,status,yes,,3qix2z4o55
PUT,/investment/withdraw/crypto/{withdraw_id},body,remark,yes,,3qix2z4o55
PUT,/investment/deposit/fiat/{deposit_id},header,token,yes,,3qix2z4o55
PUT,/investment/deposit/fiat/{deposit_id},path,deposit_id,yes,,3qix2z4o55
PUT,/investment/deposit/fiat/{deposit_id},body,amount,yes,,3qix2z4o55
PUT,/investment/deposit/fiat/{deposit_id},body,status,yes,,3qix2z4o55
PUT,/investment/deposit/fiat/{deposit_id},body,remark,yes,,3qix2z4o55
PUT,/investment/withdraw/fiat/{withdraw_id},header,token,yes,,3qix2z4o55
PUT,/investment/withdraw/fiat/{withdraw_id},path,withdraw_id,yes,,3qix2z4o55
PUT,/investment/withdraw/fiat/{withdraw_id},body,status,yes,,3qix2z4o55
PUT,/investment/withdraw/fiat/{withdraw_id},body,remark,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},header,token,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},path,bank_id,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},body,currency_symbol,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},body,bank_name,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},body,bank_branch,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},body,bank_code,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},body,bank_address,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},body,bank_account_name,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},body,bank_account_number,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},body,bank_account_address,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},body,bank_statement,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},body,correspondent_bank_name,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},body,correspondent_bank_code,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},body,correspondent_bank_account_number,yes,,3qix2z4o55
PUT,/investment/user/bank/{bank_id},body,status,yes,,3qix2z4o55
post,/investment/brokerage/order,header,token,yes,,3qix2z4o55
post,/investment/brokerage/order,body,user_id,yes,,3qix2z4o55
post,/investment/brokerage/order,body,price,yes,,3qix2z4o55
